Accession Number,Title,Sequence Length,Source of sample,NCBI Link,Geographical location,Host,Article name
MG675045,"Streptococcus anginosus strain BM15 16S ribosomal RNA gene, partial sequence",1296.0,buccal surface,https://www.ncbi.nlm.nih.gov/nuccore/MG675045,India,Human,Exploring Streptococcus spp. for forensic application
PP825757,"Streptococcus anginosus strain MP18-4 16S ribosomal RNA gene, partial sequence",1292.0,---,https://www.ncbi.nlm.nih.gov/nuccore/PP825757,South Korea,---,-----
MK330515,"Streptococcus anginosus strain 4188_08 16S ribosomal RNA gene, partial sequence",1288.0,clinical isolate,https://www.ncbi.nlm.nih.gov/nuccore/MK330515,---,clinical isolate,Development of a reference data set for assigning Streptococcus and Enterococcus species based on next generation sequencing of the 16S–23S rRNA region
MT535860,"Streptococcus anginosus strain 4734_08 16S ribosomal RNA gene, partial sequence",1288.0,clinical isolate,https://www.ncbi.nlm.nih.gov/nuccore/MT535860,National Medicines Institute in Warsaw (Poland),Clinical isolate,"Identification of Clinically Relevant Streptococcus and Enterococcus Species Based on Biochemical Methods and 16S rRNA, sodA, tuf, rpoB, and recA Gene Sequencing"
PP825763,"Streptococcus anginosus strain MP20-2 16S ribosomal RNA gene, partial sequence",1288.0,---,https://www.ncbi.nlm.nih.gov/nuccore/PP825763,South Korea,---,-----
MT535861,"Streptococcus anginosus strain 5898_10 16S ribosomal RNA gene, partial sequence",1288.0,clinical isolate,https://www.ncbi.nlm.nih.gov/nuccore/MT535861,National Medicines Institute in Warsaw (Poland),Clinical isolate,"Identification of Clinically Relevant Streptococcus and Enterococcus Species Based on Biochemical Methods and 16S rRNA, sodA, tuf, rpoB, and recA Gene Sequencing"
VYVX01000034,"Streptococcus anginosus strain UMB3444 NODE_34_length_1277_cov_61.878261, whole genome shotgun sequence",1277.0,---,https://www.ncbi.nlm.nih.gov/nuccore/VYVX01000034,---,Human,Draft genome sequence assemblies of isolates from the urinary tract
OR976019,"Streptococcus anginosus strain 532BR 16S ribosomal RNA gene, partial sequence",1272.0,catheterized urine sample,https://www.ncbi.nlm.nih.gov/nuccore/OR976019,USA,Female,Cataloging variation in 16S rRNA gene sequences of female urobiome bacteria
OR976018,"Streptococcus anginosus strain 437-2P 16S ribosomal RNA gene, partial sequence",1270.0,catheterized urine sample,https://www.ncbi.nlm.nih.gov/nuccore/OR976018,USA,Female,Cataloging variation in 16S rRNA gene sequences of female urobiome bacteria
OR976017,"Streptococcus anginosus strain 368PI 16S ribosomal RNA gene, partial sequence",1261.0,catheterized urine sample,https://www.ncbi.nlm.nih.gov/nuccore/OR976017,USA,Female,Cataloging variation in 16S rRNA gene sequences of female urobiome bacteria
KX661058,"Streptococcus anginosus strain PUA016 16S ribosomal RNA gene, partial sequence",1255.0,---,https://www.ncbi.nlm.nih.gov/nuccore/KX661058,China,Human,Using Matrix-Assisted Laser Desorption Ionization-Time of Flight (MALDI-TOF) Complemented with Selected 16S rRNA and gyrB Genes Sequencing to Practically Identify Clinical Important Viridans Group Streptococci (VGS)
ON810613,"Streptococcus anginosus strain TMPC 20533 16S ribosomal RNA gene, partial sequence",1254.0,,https://www.ncbi.nlm.nih.gov/nuccore/ON810613,,,-----
KX661047,"Streptococcus anginosus strain PUA005 16S ribosomal RNA gene, partial sequence",1251.0,---,https://www.ncbi.nlm.nih.gov/nuccore/KX661047,China,Human,Using Matrix-Assisted Laser Desorption Ionization-Time of Flight (MALDI-TOF) Complemented with Selected 16S rRNA and gyrB Genes Sequencing to Practically Identify Clinical Important Viridans Group Streptococci (VGS)
KX661048,"Streptococcus anginosus strain PUA006 16S ribosomal RNA gene, partial sequence",1251.0,---,https://www.ncbi.nlm.nih.gov/nuccore/KX661048,China,Human,Using Matrix-Assisted Laser Desorption Ionization-Time of Flight (MALDI-TOF) Complemented with Selected 16S rRNA and gyrB Genes Sequencing to Practically Identify Clinical Important Viridans Group Streptococci (VGS)
KX661049,"Streptococcus anginosus strain PUA007 16S ribosomal RNA gene, partial sequence",1251.0,---,https://www.ncbi.nlm.nih.gov/nuccore/KX661049,China,Human,Using Matrix-Assisted Laser Desorption Ionization-Time of Flight (MALDI-TOF) Complemented with Selected 16S rRNA and gyrB Genes Sequencing to Practically Identify Clinical Important Viridans Group Streptococci (VGS)
KX661073,"Streptococcus anginosus strain PUA031 16S ribosomal RNA gene, partial sequence",1251.0,---,https://www.ncbi.nlm.nih.gov/nuccore/KX661073,China,Human,Using Matrix-Assisted Laser Desorption Ionization-Time of Flight (MALDI-TOF) Complemented with Selected 16S rRNA and gyrB Genes Sequencing to Practically Identify Clinical Important Viridans Group Streptococci (VGS)
KX661051,"Streptococcus anginosus strain PUA009 16S ribosomal RNA gene, partial sequence",1251.0,---,https://www.ncbi.nlm.nih.gov/nuccore/KX661051,China,Human,Using Matrix-Assisted Laser Desorption Ionization-Time of Flight (MALDI-TOF) Complemented with Selected 16S rRNA and gyrB Genes Sequencing to Practically Identify Clinical Important Viridans Group Streptococci (VGS)
KX661052,"Streptococcus anginosus strain PUA010 16S ribosomal RNA gene, partial sequence",1251.0,---,https://www.ncbi.nlm.nih.gov/nuccore/KX661052,China,Human,Using Matrix-Assisted Laser Desorption Ionization-Time of Flight (MALDI-TOF) Complemented with Selected 16S rRNA and gyrB Genes Sequencing to Practically Identify Clinical Important Viridans Group Streptococci (VGS)
KX661054,"Streptococcus anginosus strain PUA012 16S ribosomal RNA gene, partial sequence",1251.0,---,https://www.ncbi.nlm.nih.gov/nuccore/KX661054,China,Human,Using Matrix-Assisted Laser Desorption Ionization-Time of Flight (MALDI-TOF) Complemented with Selected 16S rRNA and gyrB Genes Sequencing to Practically Identify Clinical Important Viridans Group Streptococci (VGS)
KX661113,"Streptococcus anginosus strain PUA071 16S ribosomal RNA gene, partial sequence",1251.0,---,https://www.ncbi.nlm.nih.gov/nuccore/KX661113,China,Human,Using Matrix-Assisted Laser Desorption Ionization-Time of Flight (MALDI-TOF) Complemented with Selected 16S rRNA and gyrB Genes Sequencing to Practically Identify Clinical Important Viridans Group Streptococci (VGS)
KX661089,"Streptococcus anginosus strain PUA047 16S ribosomal RNA gene, partial sequence",1251.0,---,https://www.ncbi.nlm.nih.gov/nuccore/KX661089,China,Human,Using Matrix-Assisted Laser Desorption Ionization-Time of Flight (MALDI-TOF) Complemented with Selected 16S rRNA and gyrB Genes Sequencing to Practically Identify Clinical Important Viridans Group Streptococci (VGS)
KX661046,"Streptococcus anginosus strain PUA004 16S ribosomal RNA gene, partial sequence",1251.0,---,https://www.ncbi.nlm.nih.gov/nuccore/KX661046,China,Human,Using Matrix-Assisted Laser Desorption Ionization-Time of Flight (MALDI-TOF) Complemented with Selected 16S rRNA and gyrB Genes Sequencing to Practically Identify Clinical Important Viridans Group Streptococci (VGS)
KX661044,"Streptococcus anginosus strain PUA002 16S ribosomal RNA gene, partial sequence",1251.0,---,https://www.ncbi.nlm.nih.gov/nuccore/KX661044,China,Human,Using Matrix-Assisted Laser Desorption Ionization-Time of Flight (MALDI-TOF) Complemented with Selected 16S rRNA and gyrB Genes Sequencing to Practically Identify Clinical Important Viridans Group Streptococci (VGS)
KX661043,"Streptococcus anginosus strain PUA001 16S ribosomal RNA gene, partial sequence",1251.0,---,https://www.ncbi.nlm.nih.gov/nuccore/KX661043,China,Human,Using Matrix-Assisted Laser Desorption Ionization-Time of Flight (MALDI-TOF) Complemented with Selected 16S rRNA and gyrB Genes Sequencing to Practically Identify Clinical Important Viridans Group Streptococci (VGS)
KX661050,"Streptococcus anginosus strain PUA008 16S ribosomal RNA gene, partial sequence",1251.0,---,https://www.ncbi.nlm.nih.gov/nuccore/KX661050,China,Human,Using Matrix-Assisted Laser Desorption Ionization-Time of Flight (MALDI-TOF) Complemented with Selected 16S rRNA and gyrB Genes Sequencing to Practically Identify Clinical Important Viridans Group Streptococci (VGS)
KX661074,"Streptococcus anginosus strain PUA032 16S ribosomal RNA gene, partial sequence",1251.0,---,https://www.ncbi.nlm.nih.gov/nuccore/KX661074,China,Human,Using Matrix-Assisted Laser Desorption Ionization-Time of Flight (MALDI-TOF) Complemented with Selected 16S rRNA and gyrB Genes Sequencing to Practically Identify Clinical Important Viridans Group Streptococci (VGS)
KX661055,"Streptococcus anginosus strain PUA013 16S ribosomal RNA gene, partial sequence",1251.0,---,https://www.ncbi.nlm.nih.gov/nuccore/KX661055,China,Human,Using Matrix-Assisted Laser Desorption Ionization-Time of Flight (MALDI-TOF) Complemented with Selected 16S rRNA and gyrB Genes Sequencing to Practically Identify Clinical Important Viridans Group Streptococci (VGS)
KX661063,"Streptococcus anginosus strain PUA021 16S ribosomal RNA gene, partial sequence",1251.0,---,https://www.ncbi.nlm.nih.gov/nuccore/KX661063,China,Human,Using Matrix-Assisted Laser Desorption Ionization-Time of Flight (MALDI-TOF) Complemented with Selected 16S rRNA and gyrB Genes Sequencing to Practically Identify Clinical Important Viridans Group Streptococci (VGS)
KX661072,"Streptococcus anginosus strain PUA030 16S ribosomal RNA gene, partial sequence",1251.0,---,https://www.ncbi.nlm.nih.gov/nuccore/KX661072,China,Human,Using Matrix-Assisted Laser Desorption Ionization-Time of Flight (MALDI-TOF) Complemented with Selected 16S rRNA and gyrB Genes Sequencing to Practically Identify Clinical Important Viridans Group Streptococci (VGS)
KX661071,"Streptococcus anginosus strain PUA029 16S ribosomal RNA gene, partial sequence",1251.0,---,https://www.ncbi.nlm.nih.gov/nuccore/KX661071,China,Human,Using Matrix-Assisted Laser Desorption Ionization-Time of Flight (MALDI-TOF) Complemented with Selected 16S rRNA and gyrB Genes Sequencing to Practically Identify Clinical Important Viridans Group Streptococci (VGS)
KX661070,"Streptococcus anginosus strain PUA028 16S ribosomal RNA gene, partial sequence",1251.0,---,https://www.ncbi.nlm.nih.gov/nuccore/KX661070,China,Human,Using Matrix-Assisted Laser Desorption Ionization-Time of Flight (MALDI-TOF) Complemented with Selected 16S rRNA and gyrB Genes Sequencing to Practically Identify Clinical Important Viridans Group Streptococci (VGS)
KX661068,"Streptococcus anginosus strain PUA026 16S ribosomal RNA gene, partial sequence",1251.0,---,https://www.ncbi.nlm.nih.gov/nuccore/KX661068,China,Human,Using Matrix-Assisted Laser Desorption Ionization-Time of Flight (MALDI-TOF) Complemented with Selected 16S rRNA and gyrB Genes Sequencing to Practically Identify Clinical Important Viridans Group Streptococci (VGS)
KX661067,"Streptococcus anginosus strain PUA025 16S ribosomal RNA gene, partial sequence",1251.0,---,https://www.ncbi.nlm.nih.gov/nuccore/KX661067,China,Human,Using Matrix-Assisted Laser Desorption Ionization-Time of Flight (MALDI-TOF) Complemented with Selected 16S rRNA and gyrB Genes Sequencing to Practically Identify Clinical Important Viridans Group Streptococci (VGS)
KX661065,"Streptococcus anginosus strain PUA023 16S ribosomal RNA gene, partial sequence",1251.0,---,https://www.ncbi.nlm.nih.gov/nuccore/KX661065,China,Human,Using Matrix-Assisted Laser Desorption Ionization-Time of Flight (MALDI-TOF) Complemented with Selected 16S rRNA and gyrB Genes Sequencing to Practically Identify Clinical Important Viridans Group Streptococci (VGS)
KX661062,"Streptococcus anginosus strain PUA020 16S ribosomal RNA gene, partial sequence",1251.0,---,https://www.ncbi.nlm.nih.gov/nuccore/KX661062,China,Human,Using Matrix-Assisted Laser Desorption Ionization-Time of Flight (MALDI-TOF) Complemented with Selected 16S rRNA and gyrB Genes Sequencing to Practically Identify Clinical Important Viridans Group Streptococci (VGS)
KX661061,"Streptococcus anginosus strain PUA019 16S ribosomal RNA gene, partial sequence",1251.0,---,https://www.ncbi.nlm.nih.gov/nuccore/KX661061,China,Human,Using Matrix-Assisted Laser Desorption Ionization-Time of Flight (MALDI-TOF) Complemented with Selected 16S rRNA and gyrB Genes Sequencing to Practically Identify Clinical Important Viridans Group Streptococci (VGS)
KX661059,"Streptococcus anginosus strain PUA017 16S ribosomal RNA gene, partial sequence",1251.0,---,https://www.ncbi.nlm.nih.gov/nuccore/KX661059,China,Human,Using Matrix-Assisted Laser Desorption Ionization-Time of Flight (MALDI-TOF) Complemented with Selected 16S rRNA and gyrB Genes Sequencing to Practically Identify Clinical Important Viridans Group Streptococci (VGS)
KX661057,"Streptococcus anginosus strain PUA015 16S ribosomal RNA gene, partial sequence",1251.0,---,https://www.ncbi.nlm.nih.gov/nuccore/KX661057,China,Human,Using Matrix-Assisted Laser Desorption Ionization-Time of Flight (MALDI-TOF) Complemented with Selected 16S rRNA and gyrB Genes Sequencing to Practically Identify Clinical Important Viridans Group Streptococci (VGS)
KX661056,"Streptococcus anginosus strain PUA014 16S ribosomal RNA gene, partial sequence",1251.0,---,https://www.ncbi.nlm.nih.gov/nuccore/KX661056,China,Human,Using Matrix-Assisted Laser Desorption Ionization-Time of Flight (MALDI-TOF) Complemented with Selected 16S rRNA and gyrB Genes Sequencing to Practically Identify Clinical Important Viridans Group Streptococci (VGS)
KX661075,"Streptococcus anginosus strain PUA033 16S ribosomal RNA gene, partial sequence",1251.0,---,https://www.ncbi.nlm.nih.gov/nuccore/KX661075,China,Human,Using Matrix-Assisted Laser Desorption Ionization-Time of Flight (MALDI-TOF) Complemented with Selected 16S rRNA and gyrB Genes Sequencing to Practically Identify Clinical Important Viridans Group Streptococci (VGS)
MF538608,"Streptococcus anginosus strain 3007 16S ribosomal RNA gene, partial sequence",1240.0,---,https://www.ncbi.nlm.nih.gov/nuccore/MF538608,---,Human,183. Pivotal Role of Preexisting Pathogen-Specific Antibodies in the Development of Necrotizing Soft-Tissue Infections
ON796814,"Streptococcus anginosus subsp. whileyi strain CO01 16S ribosomal RNA gene, partial sequence",1224.0,Stool,https://www.ncbi.nlm.nih.gov/nuccore/ON796814,India,Human,Implications of COVID-19 on Human Gut Microbiota
ON810614,"Streptococcus anginosus strain TMPC 20549 16S ribosomal RNA gene, partial sequence",1211.0,---,https://www.ncbi.nlm.nih.gov/nuccore/ON810614,---,---,-----
OQ383429,"Streptococcus anginosus strain SS 8 16S ribosomal RNA gene, partial sequence",1210.0,Oral cavity,https://www.ncbi.nlm.nih.gov/nuccore/OQ383429,Egypt,Human,Anaerobic biodegradation of anthracene by oral Firmicutes isolates from smokers and its potential pathway
PVSY01000043,"Streptococcus anginosus strain OUP25 oup25.s5-trimmed-pair1.paired_contig_43, whole genome shotgun sequence",1207.0,blood,https://www.ncbi.nlm.nih.gov/nuccore/PVSY01000043,USA: University of Oklahoma Health Sciences Center Medical Center,Human,The isolation and characterization of milleri group streptococci from dental periapical abscesses
